0.85,30.16,12.84,4.09,0.83,0.75
0.41,41.09,11.91,4.34,1.02,1.04
0.86,64.53,6.28,3.59,1.19,0.90
0.80,33.28,3.47,4.41,0.91,0.93
0.67,28.59,7.84,4.78,0.74,1.11
0.72,69.22,9.72,4.28,0.86,1.08
0.89,62.97,5.97,3.41,0.88,1.19
0.78,39.53,6.91,4.66,1.18,0.77
0.58,37.97,3.78,4.97,0.85,0.71
0.77,45.78,11.28,3.03,0.82,1.02
0.61,27.03,9.41,3.09,1.15,0.88
0.83,23.91,5.34,3.91,0.77,0.85
0.52,36.41,4.09,3.97,1.16,1.07
0.74,53.59,9.09,3.53,1.00,0.72
0.88,61.41,3.16,4.53,1.08,0.91
0.53,48.91,7.22,3.78,0.90,0.83
0.50,66.09,8.47,4.84,1.10,1.10
0.75,52.03,8.16,4.16,0.72,1.18
0.55,31.72,10.34,3.34,1.13,0.86
0.63,55.16,12.22,3.66,0.75,0.74
0.60,22.34,10.97,3.16,0.80,0.80
0.64,56.72,5.03,4.91,1.04,1.15
0.45,59.84,6.59,3.72,1.11,0.79
0.81,42.66,8.78,4.03,0.94,0.97
0.70,58.28,12.53,3.22,0.99,0.82
0.66,50.47,10.03,4.22,1.07,0.96
0.44,47.34,5.66,4.72,0.93,0.94
0.56,34.84,7.53,3.47,0.97,1.00
0.42,44.22,4.72,4.59,0.79,1.05
0.69,67.66,10.66,3.84,0.96,0.99
0.47,20.78,4.41,4.47,1.05,1.13
0.49,25.47,11.59,3.28,0.71,1.16
